NUMEROS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
52,null,null,null,null,null,d59,d58,d60,d63,d62,null,d61,d68,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
53,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,d69,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
54,null,null,null,null,null,d59,d58,d60,d63,d62,null,d61,null,d71,null,r33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,70,null,null,null,null
55,null,null,null,null,null,d59,d58,d60,d63,d62,null,d61,null,null,null,d72,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
56,null,null,null,null,null,d59,d58,d60,d63,d62,null,d61,null,null,null,d73,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
57,r24,null,null,null,r24,null,null,null,null,null,null,null,null,null,null,null,null,r24,null,r24,r24,r24,r24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
58,d46,d47,d48,d49,null,d42,null,null,null,null,d43,null,null,null,d41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44,45,null,74
59,d46,d47,d48,d49,null,d42,null,null,null,null,d43,null,null,null,d41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44,45,null,75
60,d46,d47,d48,d49,null,d42,null,null,null,null,d43,null,null,null,d41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44,45,null,76
61,d46,d47,d48,d49,null,d42,null,null,null,null,d43,null,null,null,d41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44,45,null,77
62,d46,d47,d48,d49,null,d42,null,null,null,null,d43,null,null,null,d41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44,45,null,78
63,d46,d47,d48,d49,null,d42,null,null,null,null,d43,null,null,null,d41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44,45,null,79
64,null,null,null,null,null,d59,d58,d60,d63,d62,null,d61,null,null,null,d80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
65,null,null,null,null,null,r44,r44,r44,r44,r44,null,r44,r44,r44,null,r44,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
66,null,null,null,null,null,r45,r45,r45,r45,r45,null,r45,r45,r45,null,r45,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
67,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,r13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
68,r21,null,null,null,r21,null,null,null,null,null,null,null,null,null,null,null,null,r21,null,r21,r21,r21,r21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
69,null,null,null,null,null,r40,r40,r40,r40,r40,null,r40,r40,r40,null,r40,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
70,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,r32,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
71,d46,d47,d48,d49,null,d42,null,null,null,null,d43,null,null,null,d41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44,45,null,81
72,d27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,d85,null,null,d28,d29,d30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,83,null,84,null,null,null,null,31,82,null
73,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,d85,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,86,null,null,null,null,null,null,null
74,null,null,null,null,null,r46,r46,r46,r46,r46,null,r46,r46,r46,null,r46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
75,null,null,null,null,null,r47,d58,r47,r47,r47,null,r47,r47,r47,null,r47,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
76,null,null,null,null,null,d59,d58,r48,r48,r48,null,r48,r48,r48,null,r48,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
77,null,null,null,null,null,d59,d58,d60,r49,r49,null,r49,r49,r49,null,r49,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
78,null,null,null,null,null,d59,d58,d60,r50,r50,null,d61,r50,r50,null,r50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
79,null,null,null,null,null,d59,d58,d60,r51,d62,null,d61,r51,r51,null,r51,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
80,null,null,null,null,null,r43,r43,r43,r43,r43,null,r43,r43,r43,null,r43,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
81,null,null,null,null,null,d59,d58,d60,d63,d62,null,d61,null,d71,null,r33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,87,null,null,null,null
82,r26,null,null,null,r26,null,null,null,null,null,null,null,null,null,null,null,null,r26,null,r26,r26,r26,d89,null,null,null,null,null,null,null,null,null,null,null,null,null,null,88,null,null,null,null,null,null,null,null
83,r41,null,null,null,r41,null,null,null,null,null,null,null,null,null,null,null,null,r41,null,r41,r41,r41,r41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
84,r42,null,null,null,r42,null,null,null,null,null,null,null,null,null,null,null,null,r42,null,r42,r42,r42,r42,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
85,d27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,r19,null,d28,d29,d30,null,null,null,null,null,null,null,null,null,null,null,null,null,90,91,null,null,null,null,null,null,31,null,null
86,r23,null,null,null,r23,null,null,null,null,null,null,null,null,null,null,null,null,r23,null,r23,r23,r23,r23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
87,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,r34,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
88,r22,null,null,null,r22,null,null,null,null,null,null,null,null,null,null,null,null,r22,null,r22,r22,r22,r22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
89,d27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,d85,null,null,d28,d29,d30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,83,null,84,null,null,null,null,31,92,null
90,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,d93,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
91,d27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,r19,null,d28,d29,d30,null,null,null,null,null,null,null,null,null,null,null,null,null,94,91,null,null,null,null,null,null,31,null,null
92,r27,null,null,null,r27,null,null,null,null,null,null,null,null,null,null,null,null,r27,null,r27,r27,r27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
93,r28,null,null,null,r28,null,null,null,null,null,null,null,null,null,null,null,null,r28,null,r28,r28,r28,r28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
94,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,r20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Terminales,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,No terminales.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,$,Final de la linea,,,,,,,,,,,,,,,,,,,,,,,,,,,
